"Представьте, что вы уже работаете врачом. Насколько правильно эти утверждения описывают вашу специальность?",,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Время создания,Выберите специальность из списка, 1. Врач должен регулярно тесно общаться с пациентами,"2. Врач работает со сложными переживаниями пациентов: сообщает плохие новости, улаживает конфликты","3. Врач каждый день выполняет операции или мануальные процедуры, например, постановку ЦВК, массаж, УЗИ, артроскопию",4. Врач регулярно работает со сложной в освоении техникой вроде МРТ и линейного ускорителя,"5. Врач регулярно взаимодействует с кровью, гноем, внутренними органами, тяжелыми травмами и другими вещами, которые сильно действуют на впечатлительных людей"," 6. Врачу приходится выдерживать тяжелые физические нагрузки или проводить манипуляции, требующие большой грубой силы","7. Врач часто сталкивается со смертью, неизлечимыми больными и пациентами в тяжелом состоянии",8. Врач проводит большую часть дня сидя на одном месте,9. Врач должен быстро принимать решения и не теряться в критических ситуациях,"10. Врач помогает другому специалисту в постановке диагноза или проведении процедур, но сам не является лечащим", 11. Врач часто работает в команде,12. Врач ведет одного и того же пациента длительное время: примерно год и более,13. Врач должен долгое время проводить стоя, 14. Врач является узким специалистом в определенной сфере," 15. Врач имеет специальность широкого профиля и регулярно обращается к знаниям из смежных областей. Например, терапевт и гастроэнтеролог",16. У врача этой специальности более высокий риск заразиться от пациента,"17. Врач проводит в среднем больше времени за бумажной работой, чем коллеги из других сфер","18. Врач напрямую отвечает за состояние больного, то есть является лечащим", 19. Врач регулярно получает обратную связь и признание от пациентов,20. Врач работает по предсказуемому и постоянному графику,"21. В сообществе врачей многие считают, что эта специальность в большей степени подходит мужчинам",22. Работа предполагает ночные регулярные ночные или суточные смены,23. Врач быстро видит результат своей работы,"Сколько лет после окончания специалитета (6 лет учебы) необходимо, чтобы освоить эту специальность для начала самостоятельной работы","Если условия работы в стационаре и амбулатории значительно отличаются для вашей специальности, напишите, чем именно"
1235808754,2022-10-20 12:57:36,Врач клинической лабораторной диагностики,2 балла,3 балла,1 балл,4 балла,5 баллов,4 балла,4 балла,2 балла,5 баллов,4 балла,3 балла,1 балл,3 балла,5 баллов,3 балла,2 балла,4 балла,1 балл,1 балл,2 балла,1 балл,3 балла,,2,
1235727993,2022-10-20 11:29:36,Психиатр-нарколог,5 баллов,4 балла,2 балла,2 балла,2 балла,2 балла,2 балла,4 балла,4 балла,4 балла,3 балла,5 баллов,2 балла,4 балла,4 балла,3 балла,4 балла,5 баллов,5 баллов,4 балла,4 балла,4 балла,,2,не отличается
1235727588,2022-10-20 11:29:10,Психиатр,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,,5,
1235726129,2022-10-20 11:27:37,Психиатр-нарколог,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,4 балла,,5,ничем
1235723913,2022-10-20 11:25:14,Психиатр,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,5 баллов,5 баллов,5 баллов,4 балла,5 баллов,5 баллов,4 балла,5 баллов,4 балла,4 балла,5 баллов,5 баллов,4 балла,4 балла,3 балла,4 балла,,5,в амбулаторных условиях мало времени для работы с пациентом.
1235723653,2022-10-20 11:24:55,Врач УЗИ,4 балла,2 балла,5 баллов,1 балл,1 балл,1 балл,2 балла,4 балла,4 балла,5 баллов,3 балла,5 баллов,1 балл,2 балла,5 баллов,4 балла,3 балла,1 балл,2 балла,5 баллов,2 балла,1 балл,,3,
1235722509,2022-10-20 11:23:38,Психиатр,4 балла,4 балла,1 балл,1 балл,1 балл,1 балл,2 балла,5 баллов,4 балла,4 балла,5 баллов,5 баллов,1 балл,5 баллов,2 балла,1 балл,5 баллов,5 баллов,4 балла,5 баллов,1 балл,1 балл,,1,различная нагрузка
1235721730,2022-10-20 11:22:45,Психиатр-нарколог,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,1 балл,5 баллов,,10,Нет
1235720341,2022-10-20 11:21:13,Невролог,4 балла,5 баллов,1 балл,1 балл,1 балл,1 балл,4 балла,5 баллов,5 баллов,3 балла,4 балла,2 балла,1 балл,4 балла,5 баллов,3 балла,3 балла,5 баллов,4 балла,4 балла,2 балла,1 балл,,10,Тяжесть пациентов
1235719035,2022-10-20 11:19:45,Психиатр,5 баллов,4 балла,5 баллов,2 балла,2 балла,1 балл,4 балла,4 балла,5 баллов,4 балла,3 балла,4 балла,4 балла,4 балла,2 балла,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,,5,
1235714716,2022-10-20 11:14:36,Педиатр,3 балла,2 балла,1 балл,1 балл,1 балл,1 балл,4 балла,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,2 балла,5 баллов,5 баллов,2 балла,2 балла,5 баллов,4 балла,5 баллов,1 балл,1 балл,,10,не отличаются
1235714429,2022-10-20 11:14:12,Физиотерапевт,4 балла,1 балл,1 балл,2 балла,1 балл,1 балл,1 балл,4 балла,4 балла,4 балла,2 балла,1 балл,1 балл,2 балла,5 баллов,2 балла,1 балл,2 балла,5 баллов,5 баллов,1 балл,1 балл,,1,
1235711127,2022-10-20 11:10:17,Педиатр,3 балла,1 балл,1 балл,1 балл,1 балл,1 балл,1 балл,2 балла,5 баллов,5 баллов,5 баллов,5 баллов,2 балла,5 баллов,5 баллов,2 балла,4 балла,5 баллов,4 балла,5 баллов,2 балла,1 балл,,10,не отличаются
1235704879,2022-10-20 11:03:03,Психиатр,5 баллов,5 баллов,1 балл,1 балл,1 балл,1 балл,2 балла,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,2 балла,5 баллов,5 баллов,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,1 балл,,2,
1235700718,2022-10-20 10:58:24,Терапевт,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,1 балл,5 баллов,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,1 балл,1 балл,,3,
1235697221,2022-10-20 10:54:30,Невролог,3 балла,4 балла,1 балл,1 балл,2 балла,1 балл,4 балла,5 баллов,5 баллов,5 баллов,4 балла,5 баллов,1 балл,2 балла,5 баллов,1 балл,4 балла,4 балла,2 балла,4 балла,1 балл,1 балл,,8,
1235693625,2022-10-20 10:50:28,Психиатр,5 баллов,5 баллов,1 балл,1 балл,3 балла,3 балла,3 балла,5 баллов,4 балла,3 балла,3 балла,5 баллов,1 балл,5 баллов,3 балла,1 балл,5 баллов,5 баллов,1 балл,4 балла,3 балла,1 балл,,4,
1235687375,2022-10-20 10:43:20,Врач УЗИ,3 балла,3 балла,5 баллов,5 баллов,5 баллов,3 балла,4 балла,5 баллов,4 балла,4 балла,3 балла,4 балла,1 балл,5 баллов,3 балла,3 балла,2 балла,1 балл,3 балла,5 баллов,1 балл,1 балл,,2,
1235679506,2022-10-20 10:34:33,Акушер-гинеколог,5 баллов,4 балла,5 баллов,2 балла,4 балла,3 балла,2 балла,1 балл,5 баллов,1 балл,5 баллов,5 баллов,2 балла,2 балла,4 балла,5 баллов,3 балла,5 баллов,5 баллов,5 баллов,2 балла,4 балла,,3,
1235672209,2022-10-20 10:26:26,Акушер-гинеколог,5 баллов,5 баллов,5 баллов,2 балла,5 баллов,2 балла,1 балл,1 балл,5 баллов,1 балл,5 баллов,5 баллов,4 балла,5 баллов,2 балла,5 баллов,5 баллов,5 баллов,4 балла,5 баллов,1 балл,5 баллов,,2,
1235672191,2022-10-20 10:26:24,Педиатр,5 баллов,2 балла,1 балл,3 балла,1 балл,1 балл,1 балл,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,2 балла,1 балл,3 балла,3 балла,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,5 баллов,,7,
1235661992,2022-10-20 10:14:44,Акушер-гинеколог,5 баллов,5 баллов,5 баллов,3 балла,5 баллов,5 баллов,5 баллов,3 балла,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,5 баллов,5 баллов,5 баллов,3 балла,2 балла,2 балла,5 баллов,,10,
1237240100,2022-10-22 11:46:25,Акушер-гинеколог,3 балла,5 баллов,2 балла,2 балла,5 баллов,4 балла,3 балла,5 баллов,5 баллов,4 балла,4 балла,5 баллов,3 балла,5 баллов,3 балла,2 балла,5 баллов,5 баллов,2 балла,4 балла,3 балла,2 балла,,12,
1237228413,2022-10-22 11:19:33,Детский хирург,5 баллов,5 баллов,5 баллов,1 балл,5 баллов,3 балла,2 балла,2 балла,5 баллов,4 балла,4 балла,2 балла,3 балла,4 балла,5 баллов,5 баллов,4 балла,5 баллов,3 балла,3 балла,5 баллов,5 баллов,,3,"Оперативной деятельностью, дежурными сменами"
1237186461,2022-10-22 09:41:06,Общий хирург,5 баллов,3 балла,4 балла,2 балла,5 баллов,2 балла,4 балла,4 балла,5 баллов,2 балла,4 балла,2 балла,4 балла,2 балла,4 балла,3 балла,3 балла,4 балла,2 балла,2 балла,2 балла,5 баллов,,5,
1237169053,2022-10-22 08:57:52,Психиатр,5 баллов,4 балла,1 балл,1 балл,3 балла,1 балл,5 баллов,5 баллов,5 баллов,4 балла,5 баллов,5 баллов,2 балла,5 баллов,4 балла,1 балл,5 баллов,5 баллов,4 балла,4 балла,3 балла,1 балл,,2,
1237145303,2022-10-22 07:56:37,Офтальмолог,2 балла,2 балла,3 балла,3 балла,4 балла,3 балла,3 балла,4 балла,5 баллов,4 балла,5 баллов,4 балла,3 балла,5 баллов,5 баллов,3 балла,3 балла,4 балла,4 балла,4 балла,2 балла,2 балла,,3,
1237140897,2022-10-22 07:43:57,Акушер-гинеколог,5 баллов,5 баллов,4 балла,2 балла,3 балла,3 балла,2 балла,5 баллов,5 баллов,2 балла,4 балла,4 балла,2 балла,2 балла,5 баллов,5 баллов,5 баллов,5 баллов,2 балла,3 балла,2 балла,2 балла,,6,"Графиком работы, отсутствием операционной, постоянный контакт с кровью, работа одному"
1237113696,2022-10-22 05:59:21,Терапевт,4 балла,3 балла,1 балл,1 балл,1 балл,1 балл,2 балла,5 баллов,3 балла,1 балл,1 балл,5 баллов,1 балл,1 балл,3 балла,2 балла,5 баллов,5 баллов,5 баллов,4 балла,1 балл,1 балл,,1,В стационаре нет переработки по времени
1237113649,2022-10-22 05:59:05,Педиатр,2 балла,2 балла,1 балл,1 балл,1 балл,1 балл,1 балл,2 балла,2 балла,2 балла,1 балл,4 балла,1 балл,1 балл,5 баллов,4 балла,3 балла,5 баллов,5 баллов,5 баллов,1 балл,1 балл,,6,В стационаре ночные дежурства
1237011399,2022-10-21 21:38:27,Врач общей практики (семейная медицина),2 балла,4 балла,3 балла,2 балла,4 балла,2 балла,5 баллов,1 балл,5 баллов,2 балла,2 балла,5 баллов,1 балл,4 балла,5 баллов,4 балла,4 балла,4 балла,4 балла,4 балла,1 балл,4 балла,,10,Нет
1237006264,2022-10-21 21:29:14,Педиатр,4 балла,4 балла,1 балл,1 балл,1 балл,1 балл,1 балл,5 баллов,5 баллов,1 балл,4 балла,1 балл,1 балл,4 балла,4 балла,5 баллов,5 баллов,5 баллов,4 балла,4 балла,1 балл,1 балл,,5696199,
1236999097,2022-10-21 21:16:52,Психиатр-нарколог,5 баллов,5 баллов,2 балла,2 балла,3 балла,4 балла,4 балла,4 балла,5 баллов,4 балла,5 баллов,5 баллов,4 балла,3 балла,4 балла,4 балла,4 балла,5 баллов,5 баллов,4 балла,4 балла,5 баллов,,"1,9",-
1236998406,2022-10-21 21:15:40,Терапевт,4 балла,5 баллов,4 балла,5 баллов,4 балла,4 балла,4 балла,2 балла,5 баллов,2 балла,4 балла,4 балла,4 балла,2 балла,4 балла,4 балла,3 балла,4 балла,3 балла,2 балла,3 балла,2 балла,,3,Нет
1236997272,2022-10-21 21:13:40,Педиатр,4 балла,5 баллов,4 балла,1 балл,2 балла,5 баллов,5 баллов,5 баллов,5 баллов,2 балла,5 баллов,5 баллов,2 балла,4 балла,5 баллов,5 баллов,3 балла,5 баллов,5 баллов,2 балла,1 балл,4 балла,,6,Дежурства
1236997175,2022-10-21 21:13:32,Психиатр,5 баллов,5 баллов,1 балл,1 балл,1 балл,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,4 балла,4 балла,4 балла,4 балла,5 баллов,5 баллов,5 баллов,3 балла,3 балла,,"1,9",-
1236996094,2022-10-21 21:11:49,Невролог,4 балла,4 балла,3 балла,4 балла,3 балла,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,4 балла,3 балла,3 балла,4 балла,3 балла,5 баллов,2 балла,2 балла,2 балла,3 балла,4 балла,,3,Высокая нагрузка в стационаре с неоправданно низкой заработной платой
1236987025,2022-10-21 20:56:37,Судмедэксперт,3 балла,4 балла,4 балла,3 балла,3 балла,4 балла,4 балла,3 балла,5 баллов,4 балла,4 балла,3 балла,3 балла,3 балла,5 баллов,3 балла,3 балла,4 балла,1 балл,3 балла,5 баллов,4 балла,,5,
1236986147,2022-10-21 20:55:08,Педиатр,4 балла,5 баллов,1 балл,1 балл,1 балл,1 балл,1 балл,5 баллов,5 баллов,1 балл,1 балл,5 баллов,1 балл,3 балла,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,4 балла,1 балл,1 балл,,6,
1236974691,2022-10-21 20:36:08,Терапевт,5 баллов,5 баллов,1 балл,1 балл,5 баллов,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,1 балл,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,1 балл,1 балл,,5,"В стационаре быстрее провести необходимое обследование, подбор лечения, мониторирование состояния пациента круглосуточно 924519"
1236954502,2022-10-21 20:03:48,Педиатр,3 балла,3 балла,1 балл,1 балл,1 балл,1 балл,1 балл,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,1 балл,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,5 баллов,5 баллов,1 балл,,24,
1236951801,2022-10-21 19:59:26,Педиатр,2 балла,4 балла,1 балл,1 балл,1 балл,1 балл,1 балл,1 балл,1 балл,1 балл,3 балла,5 баллов,1 балл,1 балл,3 балла,3 балла,5 баллов,5 баллов,1 балл,1 балл,1 балл,1 балл,,10,"В амбулатории врач больше сходит с ума, в стационаре обстановка спокойная"
1236946981,2022-10-21 19:52:02,Психиатр,4 балла,3 балла,2 балла,2 балла,2 балла,3 балла,4 балла,2 балла,5 баллов,3 балла,5 баллов,4 балла,2 балла,4 балла,4 балла,3 балла,3 балла,5 баллов,4 балла,3 балла,2 балла,4 балла,,10,нет
1236943907,2022-10-21 19:47:17,Педиатр,4 балла,2 балла,3 балла,3 балла,1 балл,3 балла,2 балла,4 балла,4 балла,4 балла,5 баллов,4 балла,2 балла,2 балла,3 балла,3 балла,4 балла,5 баллов,4 балла,5 баллов,2 балла,2 балла,,1,Расписанием
1236932162,2022-10-21 19:30:04,Педиатр,2 балла,4 балла,1 балл,1 балл,1 балл,1 балл,1 балл,4 балла,3 балла,3 балла,4 балла,4 балла,1 балл,1 балл,4 балла,4 балла,5 баллов,2 балла,3 балла,4 балла,1 балл,1 балл,,2,Не знаю
1236926403,2022-10-21 19:21:06,Педиатр,5 баллов,5 баллов,5 баллов,2 балла,1 балл,5 баллов,5 баллов,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,2 балла,3 балла,5 баллов,1 балл,2 балла,5 баллов,4 балла,2 балла,1 балл,2 балла,,2,-
1236913608,2022-10-21 19:00:21,Невролог,5 баллов,5 баллов,4 балла,3 балла,4 балла,2 балла,5 баллов,2 балла,5 баллов,4 балла,4 балла,5 баллов,2 балла,5 баллов,4 балла,2 балла,3 балла,4 балла,4 балла,4 балла,3 балла,2 балла,,3,В стационаре в большей степени необходимо владение различными лечебно-диагностическими манипуляциями и навыками; способность переносить или работать в круглосуточном режиме; в амбулаторном учреждении необходимо умение принимать решение в сжатые сроки.
1236905726,2022-10-21 18:48:03,Дерматовенеролог,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,,5,всем
1236900306,2022-10-21 18:39:38,Судмедэксперт,2 балла,5 баллов,5 баллов,2 балла,5 баллов,5 баллов,5 баллов,2 балла,5 баллов,5 баллов,3 балла,3 балла,5 баллов,1 балл,5 баллов,5 баллов,3 балла,5 баллов,1 балл,2 балла,5 баллов,4 балла,,3,Морг значительно отличается от стационара)
1236894622,2022-10-21 18:30:40,Судмедэксперт,2 балла,1 балл,3 балла,1 балл,5 баллов,5 баллов,5 баллов,2 балла,2 балла,5 баллов,2 балла,3 балла,4 балла,4 балла,4 балла,5 баллов,4 балла,1 балл,1 балл,4 балла,5 баллов,2 балла,,2,
1236894615,2022-10-21 18:30:40,Врач-инфекционист,4 балла,4 балла,1 балл,1 балл,1 балл,1 балл,2 балла,3 балла,4 балла,4 балла,5 баллов,1 балл,1 балл,2 балла,4 балла,5 баллов,4 балла,5 баллов,4 балла,4 балла,1 балл,5 баллов,,2,
1236893327,2022-10-21 18:28:42,Офтальмолог,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,1 балл,5 баллов,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,1 балл,5 баллов,5 баллов,1 балл,1 балл,1 балл,1 балл,1 балл,1 балл,1 балл,,2,
1236886282,2022-10-21 18:17:28,Врач клинической лабораторной диагностики,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,5 баллов,4 балла,5 баллов,5 баллов,5 баллов,4 балла,3 балла,1 балл,5 баллов,1 балл,1 балл,5 баллов,3 балла,2 балла,1 балл,4 балла,,5,
1236874874,2022-10-21 17:59:40,Педиатр,5 баллов,3 балла,2 балла,2 балла,2 балла,2 балла,2 балла,1 балл,5 баллов,2 балла,4 балла,5 баллов,2 балла,1 балл,5 баллов,2 балла,5 баллов,5 баллов,5 баллов,2 балла,1 балл,1 балл,,10,ночные дежурства
1236870119,2022-10-21 17:52:29,Оториноларинголог,4 балла,4 балла,4 балла,3 балла,4 балла,4 балла,4 балла,3 балла,5 баллов,3 балла,4 балла,4 балла,3 балла,3 балла,4 балла,5 баллов,3 балла,4 балла,4 балла,4 балла,3 балла,3 балла,,5,Оперативное лечение
1236864972,2022-10-21 17:44:39,Детский эндокринолог,4 балла,5 баллов,1 балл,1 балл,1 балл,1 балл,1 балл,3 балла,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,1 балл,1 балл,1 балл,5 баллов,,5,Возможность ежедневно го мониторинга состояния больного
1236852083,2022-10-21 17:25:23,Невролог,5 баллов,5 баллов,2 балла,2 балла,2 балла,3 балла,2 балла,2 балла,5 баллов,2 балла,4 балла,4 балла,2 балла,5 баллов,4 балла,3 балла,5 баллов,5 баллов,3 балла,2 балла,2 балла,4 балла,,3,
1236849545,2022-10-21 17:21:28,Врач ЛФК и спортивной медицины,5 баллов,4 балла,2 балла,1 балл,1 балл,1 балл,2 балла,4 балла,5 баллов,4 балла,4 балла,3 балла,2 балла,2 балла,5 баллов,1 балл,4 балла,2 балла,2 балла,4 балла,1 балл,1 балл,,2,
1236847110,2022-10-21 17:17:41,Невролог,5 баллов,5 баллов,4 балла,5 баллов,4 балла,4 балла,5 баллов,1 балл,5 баллов,5 баллов,4 балла,5 баллов,2 балла,5 баллов,4 балла,3 балла,5 баллов,5 баллов,4 балла,3 балла,3 балла,5 баллов,,10,
1236844692,2022-10-21 17:13:57,Педиатр,5 баллов,2 балла,1 балл,1 балл,1 балл,1 балл,2 балла,4 балла,5 баллов,1 балл,4 балла,5 баллов,1 балл,2 балла,5 баллов,5 баллов,4 балла,5 баллов,4 балла,2 балла,1 балл,1 балл,,1,
1236803811,2022-10-21 16:15:21,Педиатр,5 баллов,5 баллов,2 балла,2 балла,2 балла,2 балла,4 балла,4 балла,5 баллов,2 балла,2 балла,5 баллов,4 балла,4 балла,5 баллов,4 балла,4 балла,5 баллов,5 баллов,3 балла,3 балла,2 балла,,3,стационар предполагает ночные дежурства
1236799178,2022-10-21 16:08:58,Детский уролог-андролог,5 баллов,4 балла,1 балл,1 балл,1 балл,1 балл,1 балл,2 балла,3 балла,3 балла,3 балла,4 балла,1 балл,4 балла,2 балла,3 балла,2 балла,4 балла,3 балла,5 баллов,4 балла,2 балла,,8,В амбулатории нет оперативной активности
1236784081,2022-10-21 15:49:25,Педиатр,5 баллов,5 баллов,1 балл,1 балл,1 балл,3 балла,2 балла,4 балла,5 баллов,1 балл,2 балла,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,5 баллов,1 балл,1 балл,,1,
1236779505,2022-10-21 15:43:54,Педиатр,5 баллов,5 баллов,2 балла,2 балла,2 балла,2 балла,2 балла,4 балла,5 баллов,2 балла,5 баллов,5 баллов,2 балла,2 балла,4 балла,2 балла,2 балла,4 балла,4 балла,2 балла,2 балла,2 балла,,"5,0",
1236770002,2022-10-21 15:32:32,Педиатр,4 балла,2 балла,2 балла,1 балл,1 балл,2 балла,2 балла,4 балла,1 балл,5 баллов,2 балла,4 балла,2 балла,2 балла,4 балла,4 балла,4 балла,5 баллов,5 баллов,5 баллов,2 балла,1 балл,,7,работа на дому с пациентами
1236615030,2022-10-21 12:25:55,Педиатр,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,3 балла,5 баллов,1 балл,5 баллов,1 балл,3 балла,5 баллов,3 балла,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,1 балл,1 балл,1 балл,1 балл,,1,
1236614892,2022-10-21 12:25:44,Врач-инфекционист,5 баллов,5 баллов,3 балла,1 балл,1 балл,1 балл,1 балл,5 баллов,5 баллов,4 балла,4 балла,5 баллов,1 балл,5 баллов,4 балла,5 баллов,2 балла,5 баллов,5 баллов,4 балла,1 балл,1 балл,,1,
1236611644,2022-10-21 12:22:08,Врач клинической лабораторной диагностики,5 баллов,1 балл,3 балла,3 балла,2 балла,2 балла,2 балла,1 балл,5 баллов,4 балла,1 балл,2 балла,4 балла,5 баллов,5 баллов,4 балла,3 балла,5 баллов,4 балла,2 балла,3 балла,5 баллов,,3,
1236608474,2022-10-21 12:18:24,Акушер-гинеколог,5 баллов,5 баллов,2 балла,1 балл,4 балла,3 балла,5 баллов,3 балла,3 балла,3 балла,5 баллов,5 баллов,4 балла,5 баллов,2 балла,5 баллов,5 баллов,5 баллов,3 балла,3 балла,1 балл,1 балл,,8,
1236607843,2022-10-21 12:17:40,Врач клинической лабораторной диагностики,3 балла,5 баллов,3 балла,5 баллов,4 балла,4 балла,5 баллов,2 балла,5 баллов,5 баллов,5 баллов,2 балла,3 балла,5 баллов,4 балла,4 балла,4 балла,5 баллов,4 балла,2 балла,2 балла,4 балла,,7,обьемом работы
1236600704,2022-10-21 12:08:48,Педиатр,5 баллов,5 баллов,1 балл,1 балл,3 балла,3 балла,3 балла,4 балла,5 баллов,5 баллов,5 баллов,4 балла,2 балла,2 балла,5 баллов,2 балла,1 балл,5 баллов,1 балл,4 балла,1 балл,1 балл,,10,
1236598794,2022-10-21 12:06:23,Психиатр-нарколог,5 баллов,5 баллов,1 балл,1 балл,1 балл,1 балл,1 балл,5 баллов,5 баллов,1 балл,5 баллов,5 баллов,1 балл,5 баллов,4 балла,2 балла,5 баллов,5 баллов,4 балла,5 баллов,1 балл,1 балл,,1,отличаются
1236597826,2022-10-21 12:05:14,Офтальмолог,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,5 баллов,3 балла,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,4 балла,5 баллов,4 балла,3 балла,5 баллов,5 баллов,4 балла,3 балла,2 балла,,7,в стационаре проводят оперативное лечение
1236597628,2022-10-21 12:04:59,Дерматовенеролог,2 балла,1 балл,1 балл,1 балл,1 балл,1 балл,1 балл,3 балла,3 балла,1 балл,3 балла,3 балла,1 балл,4 балла,2 балла,2 балла,3 балла,4 балла,3 балла,4 балла,2 балла,1 балл,,2,
1236595522,2022-10-21 12:02:32,Психиатр-нарколог,3 балла,3 балла,3 балла,3 балла,3 балла,4 балла,1 балл,4 балла,3 балла,3 балла,3 балла,3 балла,3 балла,3 балла,3 балла,3 балла,3 балла,3 балла,4 балла,3 балла,3 балла,3 балла,,7,-
1236594068,2022-10-21 12:00:50,Педиатр,5 баллов,5 баллов,1 балл,2 балла,1 балл,1 балл,1 балл,5 баллов,5 баллов,1 балл,4 балла,5 баллов,1 балл,5 баллов,5 баллов,4 балла,4 балла,5 баллов,5 баллов,5 баллов,1 балл,1 балл,,"7,5",
1236590513,2022-10-21 11:56:40,Психиатр,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,5 баллов,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,4 балла,5 баллов,5 баллов,3 балла,5 баллов,4 балла,1 балл,1 балл,5 баллов,,7,
1236588257,2022-10-21 11:54:09,Психиатр-нарколог,5 баллов,5 баллов,1 балл,1 балл,1 балл,1 балл,5 баллов,5 баллов,5 баллов,4 балла,5 баллов,5 баллов,2 балла,5 баллов,4 балла,4 балла,5 баллов,5 баллов,3 балла,5 баллов,4 балла,1 балл,,1,1
1236586282,2022-10-21 11:51:47,Акушер-гинеколог,3 балла,3 балла,5 баллов,2 балла,2 балла,2 балла,2 балла,3 балла,4 балла,4 балла,3 балла,2 балла,1 балл,4 балла,4 балла,4 балла,3 балла,2 балла,4 балла,1 балл,1 балл,4 балла,,8,оперативная деятельность в стационаре
1236585993,2022-10-21 11:51:29,Психиатр-нарколог,5 баллов,5 баллов,1 балл,2 балла,1 балл,1 балл,4 балла,5 баллов,4 балла,2 балла,3 балла,5 баллов,1 балл,5 баллов,3 балла,2 балла,5 баллов,4 балла,2 балла,4 балла,2 балла,1 балл,,1,1
1236583566,2022-10-21 11:48:39,Психиатр-нарколог,5 баллов,5 баллов,1 балл,1 балл,2 балла,1 балл,4 балла,5 баллов,5 баллов,4 балла,3 балла,5 баллов,1 балл,4 балла,5 баллов,3 балла,5 баллов,4 балла,5 баллов,5 баллов,3 балла,2 балла,,3,"Специфические пациенты - неуравновешенные, в алкогольном, наркотическом опьянении, в абстиненции, инвалиды, с амнестическим синдромом. Также имеющие судимость и уклоняющиеся от лечения и реабилитации."
1236579657,2022-10-21 11:44:07,Психиатр-нарколог,3 балла,3 балла,1 балл,1 балл,1 балл,1 балл,1 балл,4 балла,4 балла,4 балла,4 балла,4 балла,1 балл,4 балла,4 балла,1 балл,4 балла,4 балла,1 балл,4 балла,1 балл,4 балла,,1,Отличаются
1236574209,2022-10-21 11:38:02,Психиатр,5 баллов,5 баллов,1 балл,1 балл,3 балла,4 балла,4 балла,4 балла,4 балла,5 баллов,4 балла,3 балла,3 балла,4 балла,4 балла,3 балла,5 баллов,4 балла,1 балл,2 балла,2 балла,5 баллов,,6,НОЧНЫМИ И СУТОЧНЫМИ ДЕЖУРСТВАМИ
